Name,Folder,Media,Desviacion estandar,Valor minimo,Valor maximo,Numero de bordes,Saturación de rojo,Saturacion de verde,Saturacion de azul
AOT (64).png,attackOnTitan_fotos,199.54739824459878,20.432599337209208,0.0,253.0,14413,24.577695794753087,85.80352334104938,215.56200520833335
AOT (65).png,attackOnTitan_fotos,196.99485628858025,55.05350637696672,0.0,255.0,92621,19.77135368441358,91.65742621527778,227.34951581790125
AOT (66).png,attackOnTitan_fotos,59.480665991512346,61.05847905907782,0.0,255.0,116309,88.3872511574074,198.27137345679012,92.9139240933642
AOT (67).png,attackOnTitan_fotos,84.09041473765433,45.549475514633954,12.0,255.0,13794,60.058364197530864,171.92837818287038,142.57766878858024
AOT (68).png,attackOnTitan_fotos,156.6165557484568,92.34252179167223,3.0,255.0,62792,124.37085407021605,53.41398341049383,168.32485532407406
AOT (69).png,attackOnTitan_fotos,110.96819010416667,26.06252182315698,10.0,211.0,47262,35.94604938271605,138.15394048996913,121.7912929205247
AOT (70).png,attackOnTitan_fotos,38.96306664737654,23.899767674548045,3.0,204.0,215,48.9213956404321,122.76030719521606,43.867532793209875
AOT (71).png,attackOnTitan_fotos,103.96404996141976,68.72314955497325,0.0,255.0,12394,31.52088638117284,48.38384789737655,107.3210759066358
AOT (72).png,attackOnTitan_fotos,57.84461902006173,36.12449649462634,0.0,241.0,4172,29.482335069444446,97.61914400077161,66.2702734375
AOT (73).png,attackOnTitan_fotos,87.93005063657408,55.270704613838305,4.0,236.0,9069,14.049312307098766,220.4541155478395,143.13873456790122
AOT (74).png,attackOnTitan_fotos,128.44706548996913,83.23074489083172,1.0,255.0,6900,15.412034625771605,144.90482880015432,155.09112364969135
AOT (75).png,attackOnTitan_fotos,94.76894000771605,51.96215986324491,0.0,247.0,22087,121.5789457947531,86.56044174382717,123.95201581790124
AOT (76).png,attackOnTitan_fotos,124.60529079861111,62.41013713248487,3.0,255.0,15147,72.94110966435186,85.5214419367284,151.38348234953705
AOT (77).png,attackOnTitan_fotos,37.73827739197531,29.575254741426594,0.0,255.0,7837,106.1552237654321,123.94021412037037,50.86659963348765
