Archivo,Name,Folder,Media,Desviacion estandar,Valor minimo,Valor maximo,Numero de bordes
64,deathNote (64).png,deathNote_fotos,75.68092062114198,39.416535720131165,0.0,246.0,4051
65,deathNote (65).png,deathNote_fotos,109.11958285108025,90.11484557355969,0.0,255.0,15541
66,deathNote (66).png,deathNote_fotos,97.63681182484568,92.80592932389173,0.0,255.0,21850
67,deathNote (67).png,deathNote_fotos,85.38047116126543,92.77543858333668,0.0,255.0,29361
68,deathNote (68).png,deathNote_fotos,81.69981288580247,91.05444429765016,0.0,255.0,28523
69,deathNote (69).png,deathNote_fotos,85.88788483796297,92.26968941166771,0.0,255.0,26675
70,deathNote (70).png,deathNote_fotos,90.0715663580247,92.5218458821902,0.0,255.0,23030
71,deathNote (71).png,deathNote_fotos,90.15281442901235,92.36912077522913,0.0,255.0,25533
72,deathNote (72).png,deathNote_fotos,8.634365354938272,33.071353551023016,0.0,245.0,40511
73,deathNote (73).png,deathNote_fotos,126.35209008487655,58.90732931249796,0.0,232.0,242648
74,deathNote (74).png,deathNote_fotos,139.53385609567903,91.86773239912236,0.0,255.0,20289
75,deathNote (75).png,deathNote_fotos,136.8787244405864,93.29475800200696,0.0,255.0,18331
76,deathNote (76).png,deathNote_fotos,43.64664496527778,71.57745890530467,0.0,255.0,17303
77,deathNote (77).png,deathNote_fotos,57.660084394290124,84.91583378308319,0.0,255.0,16905
78,deathNote (78).png,deathNote_fotos,94.37561728395062,88.19335065269318,0.0,255.0,14075
79,deathNote (79).png,deathNote_fotos,99.01832947530865,89.54511986250746,0.0,255.0,20458
80,deathNote (80).png,deathNote_fotos,51.61282841435185,69.28942172119238,0.0,255.0,21936
81,deathNote (81).png,deathNote_fotos,44.65788580246914,59.76145367393205,0.0,255.0,21502
82,deathNote (82).png,deathNote_fotos,51.79879292052469,67.04507318035964,0.0,255.0,10173
83,deathNote (83).png,deathNote_fotos,249.00212432484568,23.37415726061322,0.0,255.0,9048
84,deathNote (84).png,deathNote_fotos,118.5459592013889,77.46211737801549,0.0,255.0,120399
85,deathNote (85).png,deathNote_fotos,180.8975925925926,63.76128164209579,0.0,255.0,13628
86,deathNote (86).png,deathNote_fotos,119.21688368055555,51.70178159550855,0.0,238.0,5620
87,deathNote (87).png,deathNote_fotos,141.87776861496914,82.35806942445056,0.0,255.0,8468
88,deathNote (88).png,deathNote_fotos,55.45263213734568,34.87143535862515,0.0,227.0,3159
89,deathNote (89).png,deathNote_fotos,178.37327642746914,57.25878032709621,0.0,255.0,7971
90,deathNote (90).png,deathNote_fotos,37.72295428240741,33.803991922534216,0.0,236.0,2704
91,deathNote (91).png,deathNote_fotos,138.33434413580247,52.330683404781844,0.0,255.0,9308
92,deathNote (92).png,deathNote_fotos,73.86456018518518,47.12670250428024,0.0,226.0,1671
93,deathNote (93).png,deathNote_fotos,52.29048080632716,43.08563755625278,0.0,186.0,0
94,deathNote (94).png,deathNote_fotos,70.6191160300926,41.080039405620845,0.0,208.0,1721
95,deathNote (95).png,deathNote_fotos,82.48551649305556,38.16771000601197,0.0,189.0,3063
96,deathNote (96).png,deathNote_fotos,81.05200858410494,37.36949778168249,0.0,195.0,2567
97,deathNote (97).png,deathNote_fotos,79.79361014660493,36.08359879653898,0.0,160.0,2293
98,deathNote (98).png,deathNote_fotos,52.63624324845679,50.09192332016262,0.0,227.0,14146
99,deathNote (99).png,deathNote_fotos,169.6103448109568,65.04028729783596,0.0,255.0,37373
100,deathNote (100).png,deathNote_fotos,10.394995659722223,6.122113701317231,0.0,29.0,0
1,Evangel (1).png,Evangelion,16.027204378858023,12.166594494446493,1.0,106.0,113
2,Evangel (2).png,Evangelion,37.01272569444445,18.564319472110064,0.0,81.0,0
3,Evangel (3).png,Evangelion,55.723941936728394,67.7596172625526,0.0,254.0,13667
4,Evangel (4).png,Evangelion,70.0970490933642,52.858397274184775,0.0,219.0,11430
5,Evangel (5).png,Evangelion,94.58085407021605,79.97134262621064,0.0,255.0,15350
6,Evangel (6).png,Evangelion,30.071995563271606,58.280702727970166,0.0,238.0,9843
7,Evangel (7).png,Evangelion,35.72577015817901,63.26340711382013,0.0,247.0,10754
8,Evangel (8).png,Evangelion,19.36416521990741,31.60662338641874,0.0,141.0,33913
9,Evangel (9).png,Evangelion,43.11503472222223,52.96641346078178,0.0,181.0,5474
10,Evangel (10).png,Evangelion,20.746403356481483,48.35778715769253,0.0,255.0,15303
11,Evangel (11).png,Evangelion,30.975038097993828,22.785662771265283,0.0,141.0,6731
12,Evangel (12).png,Evangelion,115.46078848379629,89.18961867587532,0.0,255.0,70945
13,Evangel (13).png,Evangelion,38.66978298611111,41.83661634430305,0.0,246.0,46755
14,Evangel (14).png,Evangelion,33.09824701003087,41.30452070378013,0.0,229.0,34131
15,Evangel (15).png,Evangelion,113.57404899691359,75.62598913342975,0.0,237.0,67127
16,Evangel (16).png,Evangelion,109.20415027006173,72.94218709445504,0.0,233.0,78855
17,Evangel (17).png,Evangelion,66.41173948688272,66.45449757748732,0.0,255.0,24338
18,Evangel (18).png,Evangelion,163.39088252314815,54.62009074943535,0.0,244.0,41988
19,Evangel (19).png,Evangelion,57.12980034722222,70.15702954252676,0.0,232.0,14347
20,Evangel (20).png,Evangelion,114.81918499228395,89.30184293189751,0.0,252.0,151061
21,Evangel (21).png,Evangelion,65.27836709104939,57.59900418226738,0.0,208.0,46902
22,Evangel (22).png,Evangelion,84.3572159529321,87.00762547546901,0.0,228.0,26620
23,Evangel (23).png,Evangelion,86.26372010030865,80.17389370247326,0.0,255.0,21295
24,Evangel (24).png,Evangelion,100.5418152006173,78.22137362638331,1.0,230.0,14808
25,Evangel (25).png,Evangelion,63.26154272762346,36.049394758766574,0.0,230.0,10883
26,Evangel (26).png,Evangelion,178.4737176890432,53.98538980791336,5.0,248.0,49304
27,Evangel (27).png,Evangelion,58.76687307098766,66.74708079734786,0.0,255.0,76613
28,Evangel (28).png,Evangelion,83.04714699074074,44.989832724442316,12.0,252.0,4066
29,Evangel (29).png,Evangelion,148.2615162037037,63.88814076778568,2.0,234.0,16509
30,Evangel (30).png,Evangelion,76.15624855324074,68.51172866853662,0.0,247.0,10223
31,Evangel (31).png,Evangelion,114.03267988040123,55.394007639743215,0.0,229.0,78632
32,Evangel (32).png,Evangelion,159.50442949459878,73.48822154129472,1.0,236.0,4659
33,Evangel (33).png,Evangelion,100.28270254629629,61.06400094023451,1.0,254.0,29651
34,Evangel (34).png,Evangelion,121.14404658564816,20.97362020502836,7.0,175.0,17184
35,Evangel (35).png,Evangelion,107.41962480709877,40.693596420511476,3.0,228.0,49316
36,Evangel (36).png,Evangelion,81.09824652777777,62.491440744254085,0.0,255.0,61066
37,Evangel (37).png,Evangelion,83.66728202160495,63.9149847364653,0.0,255.0,33295
38,Evangel (38).png,Evangelion,32.25333236882716,38.850010575885285,0.0,207.0,41061
39,Evangel (39).png,Evangelion,36.46874807098766,40.42768112342767,0.0,251.0,14579
40,Evangel (40).png,Evangelion,47.948393614969135,34.2579888160196,0.0,219.0,15157
41,Evangel (41).png,Evangelion,60.23160686728395,57.67760064001687,0.0,255.0,123506
42,Evangel (42).png,Evangelion,121.84182436342593,78.40117137568723,0.0,198.0,10503
43,Evangel (43).png,Evangelion,40.51253472222222,53.50917450737757,0.0,223.0,55754
44,Evangel (44).png,Evangelion,98.90721884645062,65.17955982271596,3.0,244.0,12766
45,Evangel (45).png,Evangelion,89.72295331790124,77.2866285829127,0.0,228.0,25482
46,Evangel (46).png,Evangelion,84.83007426697532,64.21567417879797,0.0,236.0,66245
47,Evangel (47).png,Evangelion,29.35040653935185,29.102825141386386,0.0,114.0,2665
48,Evangel (48).png,Evangelion,100.94506606867284,71.76719209915048,0.0,255.0,16288
49,Evangel (49).png,Evangelion,79.76405623070988,62.20959916911804,0.0,255.0,42045
50,Evangel (50).png,Evangelion,91.78186246141975,84.07294893481524,0.0,255.0,78488
51,Evangel (51).png,Evangelion,34.260329378858025,33.94655786132447,0.0,253.0,62140
52,Evangel (52).png,Evangelion,6.887703510802469,22.55917286419019,0.0,197.0,2186
53,Evangel (53).png,Evangelion,68.36445264274691,39.661339290079056,0.0,214.0,107487
54,Evangel (54).png,Evangelion,47.06762152777778,50.9529805781577,0.0,228.0,34904
55,Evangel (55).png,Evangelion,57.85075617283951,30.558057056808323,0.0,158.0,39
56,Evangel (56).png,Evangelion,12.216327160493828,34.292043425513256,0.0,255.0,23154
57,Evangel (57).png,Evangelion,17.890312982253086,30.92451712730126,0.0,251.0,6703
58,Evangel (58).png,Evangelion,46.70529176311729,55.09317591826716,0.0,228.0,64264
59,Evangel (59).png,Evangelion,29.061555266203705,35.38092562065114,0.0,145.0,15425
60,Evangel (60).png,Evangelion,49.747021604938276,56.102775704473366,0.0,205.0,55661
61,Evangel (61).png,Evangelion,76.5902980324074,64.4834541311336,0.0,171.0,25163
62,Evangel (62).png,Evangelion,47.7404972029321,57.263956721600046,0.0,214.0,64774
63,Evangel (63).png,Evangelion,69.14062644675926,49.30304627763045,0.0,154.0,5787
64,Evangel (64).png,Evangelion,54.28058063271605,56.82839382665584,0.0,251.0,173364
65,Evangel (65).png,Evangelion,50.71001012731482,62.74741616702954,0.0,253.0,54945
66,Evangel (66).png,Evangelion,82.98812307098765,55.41512441939433,0.0,240.0,3738
67,Evangel (67).png,Evangelion,13.033384934413581,14.566918669773726,0.0,106.0,1974
68,Evangel (68).png,Evangelion,73.08866946373458,61.248340230838316,0.0,254.0,79616
69,Evangel (69).png,Evangelion,115.28864872685186,60.872232393031624,2.0,216.0,17580
70,Evangel (70).png,Evangelion,75.2441232638889,78.20602088111463,0.0,229.0,27497
71,Evangel (71).png,Evangelion,40.61143663194444,26.273819749964115,0.0,250.0,4698
72,Evangel (72).png,Evangelion,96.61548562885802,37.36699978466949,4.0,248.0,17384
73,Evangel (73).png,Evangelion,55.94850356867284,61.94051213717774,0.0,254.0,77940
74,Evangel (74).png,Evangelion,49.24795862268519,46.90882867219355,0.0,255.0,23090
75,Evangel (75).png,Evangelion,131.8302136381173,59.90211607340783,1.0,255.0,15438
76,Evangel (76).png,Evangelion,197.39644579475308,38.92216114980427,34.0,252.0,46398
77,Evangel (77).png,Evangelion,67.69781346450617,70.91860354208545,0.0,255.0,28368
78,Evangel (78).png,Evangelion,90.44115933641976,68.4081968056962,0.0,251.0,53645
79,Evangel (79).png,Evangelion,71.6322868441358,43.8457785832751,1.0,241.0,26974
80,Evangel (80).png,Evangelion,48.93166811342593,49.60155490566404,0.0,217.0,43521
